nama produk;harga produk;nama penjual;kota toko;produk terjual;rating produk;;pendapatan;
Seblak Rafael  Seblak Coet Instan Halal;25000;Brother Meat Shop;Depok;250;04.09;;6250000;
Seblak Instan;8000;Roemah Moslem;Kab. Boyolali;50;05.00;;400000;
Kerupuk Mentah Kerupuk Seblak Mentah 500 Gr;12500;Bocikakang;Jakarta Selatan;100;04.09;;1250000;
Kerupuk Bawang Prima / Krupuk Seblak 500Gram;17500;Parengge Rengge Bumbu & Rempah;Jakarta Timur;5;05.00;;87500;
Kerupuk Seblak Pedas Daun Jeruk 100 Gr;4500;Bocikakang;Jakarta Selatan;500;04.08;;2250000;
Seblak Instan Pedas Home Made;3500;The Dhecip;Tangerang Selatan;3000;04.09;;10500000;
Sambal Seblak By Mamang Rafael Original Halal Viraalll;39000;Beauty Deluxe;Jakarta Barat;18;05.00;;702000;
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack;15000;Duo Bocil Snack;Depok;80;05.00;;1200000;
Kylafood Seblak Cup;11000;Kylafood Jakarta;Jakarta Selatan;100;05.00;;1100000;
Seblak Instant Termurah;4450;Pusat Cuankie & Cemilan Frozen;Jakarta Timur;10000;04.08;;44500000;
Seblak Instan Mamang Termurah;4200;Global Cookware1;Jakarta Barat;250;04.09;;1050000;
Kylafood Seblak Cup Instan  Halal;11500;Brother Meat Shop;Depok;80;05.00;;920000;
Kerupuk Seblak Pedas / Krupuk Seblak Kering Daun Jeruk Pedes;25000;Legit Snack;Jakarta Barat;40;05.00;;1000000;
Sebring Krupuk Kerupuk Seblak Kering Pedas Daun Jeruk 1Kg Cabe Asli;16000;Aydaa Snack;Surakarta;80;04.09;;1280000;
Batagor Mini Kering 100 Pcs Toping Baso Aci  Seblak Dan Mie Instan;10000;Global Cookware1;Jakarta Barat;750;04.09;;7500000;
Kerupuk Seblak Kering Pedas Riki;8800;Van Kios;Bandung;1000;04.09;;8800000;
Seblak Kering Pedas 250 Gr/Seblak Kencur/Kerupuk Seblak Enak Dan Gurih;9999;Aghniya;Tangerang Selatan;500;04.08;;4999500;
Seblak Rafael | Seblak Mamang Rafael | Seblak Viral Original Tatangga;39500;Beauty Deluxe;Jakarta Barat;26;05.00;;1027000;
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih;15000;Lidigeli;Kab. Garut;250;04.09;;3750000;
Keripik Beling/Kaca 1/2 Kg. Bumbu Seblak Daun Jeruk Enak  Gurih Pedas;25999;Aghniya;Tangerang Selatan;250;04.09;;6499750;
Seblak / Paket Seblak Bumbu Komplit Pedas Ekonomis;3479;Grosir Putra Bdg;Kab. Bandung;250;04.08;;869750;
Kerupuk Pedas Kriwil Bantat Isi 250Gr Kriting Sembring Seblak Mawar;17248;Ahr Jaya Snack;Jakarta Timur;60;05.00;;1034880;
Seblak Putih Pedas / Kerupuk Bawang Pedas Odjolali Oleh Oleh Bsndung;9000;The Little Snacks;Tangerang Selatan;1000;04.09;;9000000;
Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160Gr;17160;Foodstocks;Jakarta Selatan;90;04.09;;1544400;
Seblak Merah Pedas / Kerupuk Bawang Oleh Oleh Bandung Odjolali;9000;The Little Snacks;Tangerang Selatan;500;04.09;;4500000;
Kerupuk Bawang Warna Merah Krupuk Seblak Mentah - 500 Gram;11500;Bocikakang;Jakarta Selatan;90;05.00;;1035000;
Seblak Basranger Extra Pedas 200Gr;17300;Rak Sebelah;Jakarta Pusat;250;04.09;;4325000;
Kerupuk/Krupuk Seblak Rasa Pedas Terlaris Isi 250 Gram Nett;16695;Toko Kue Sumber Mas;Jakarta Timur;250;04.09;;4173750;
Cuanki Tahu Toping Baso Aci  Seblak  Mie Instan Enak Gurih;19500;Global Cookware1;Jakarta Barat;1000;04.08;;19500000;
Kerupuk Krupuk Seblak Pedas 250 Gr;18480;Toko Kue Meisya;Jakarta Pusat;250;04.09;;4620000;
11 Bungkus Seblak Mamang Paket Reseller;55000;Global Cookware1;Jakarta Barat;30;05.00;;1650000;
Kylafood Seblak Tulang Rawan Play;19600;Kylafood;Bandung;500;04.09;;9800000;
Seblak Instan Pedas Dan Gurih;4999;Indhymarket;Depok;0;00.00;;0;
Kylafood Paket ( Seblak Original  Batagor  Cireng Rujak  Boci Goang);71250;Kylafood;Bandung;500;04.09;;35625000;
Seblak Kering Pedas Daun Jeruk 1/2 Kg;30000;Maherashop;Bandung;0;00.00;;0;
Kylafood Seblak Mie Baso;22000;Kylafood;Bandung;4000;04.09;;88000000;
Kerupuk Seblak Kencur / Seblak Jablay Viral @100-500Gr;9000;Toko Camilan Anyar;Surabaya;90;04.09;;810000;
Seblak Instan Viral Sajodo Snack;19500;Ns Food Store;Jakarta Barat;100;04.09;;1950000;
Kerupuk Seblak Jeruk;14000;Oke Snack;Jakarta Selatan;250;04.09;;3500000;
Mamafuji - Promo Bundling !!! Seblak & Bakso Aci;41999;Mama Fuji Official;Tangerang;60;04.06;;2519940;
Seblak Aci Jaguar Baso Aci Bakso Aci Nikmat Beli 5 Gratis 1;10000;Uai Food;Surabaya;30;04.04;;300000;
Cuanki Lidah Asli Garut Isi 150 Pcs;32000;Kira3Arut;Kab. Garut;10000;04.09;;320000000;
Geli Chips - Seblak Kering Pedas Gurih Daun Jeruk 65Gr;10200;Foodstocks;Jakarta Selatan;40;05.00;;408000;
Cilok Goang Kuah;5700;Berkah Food Bandung;Cimahi;4000;04.09;;22800000;
Soun Seblak Geprek Sami Raos Khas Garut - Soun Seblak;19500;Foodstocks;Jakarta Selatan;40;04.08;;780000;
Krupuk Krebo 180Gr/Krupuk Kribo Seblak Pedas/Cemilan Murah/Snac Kiloan;11500;Agen Snack Murah;Jakarta Barat;100;04.08;;1150000;
Kerupuk Seblak Mentah Aneka Warna;11500;Jajanangarut19;Jakarta Selatan;250;04.08;;2875000;
Seblak Instan Carla 100Gr;14000;3Key Frozen;Tangerang;30;05.00;;420000;
(Cod) Seblak Kering Kerupuk Jengkol Bumbu Basah Pedas;25000;Anugrah Seblak;Kab. Bandung;40;04.08;;1000000;
Soaci Baso Aci Seblak Original;23990;Oke Snack;Jakarta Selatan;13;05.00;;311870;
Sriping Keripik Pisang Madu;25000;Pisang Goreng Madu Bu Nanik;Jakarta Barat;750;04.08;;18750000;
Jagung Marning 250 Gr;16000;Oke Snack;Jakarta Selatan;500;04.09;;8000000;
Keripik Singkong Balado Christine Hakim;36000;Pisang Goreng Madu Bu Nanik;Jakarta Barat;2000;04.09;;72000000;
Cimol Bojot Pedas Cilok Goreng Bumbu Pedas Bubuk Cimol Cikruh Bawang;6652;Berkah Food Bandung;Cimahi;1000;04.09;;6652000;
Keripik Ubi Ungu Sari Roso;26000;Pisang Goreng Madu Bu Nanik;Jakarta Barat;250;05.00;;6500000;
Seblak Cireng Shaza Seblak Instan;12000;Dingdong Food;Tangerang Selatan;70;04.09;;840000;
Seblak Kering 100Gr Dua Varian Rasa;4500;Jajanangarut19;Jakarta Selatan;250;04.07;;1125000;
Sebring Seblak Kering;4444;Tsr1997;Depok;100;04.08;;444400;
Masjay Combo 3Pcs Seblak Bandung Instant Bumbu Pedas Membara;44000;Lidigeli;Kab. Garut;30;04.08;;1320000;
Cuanki Lidah 50 Pcs Topingan Seblak Baso Aci Bakso Cuanki;13500;Distributor Cuanki Dan Seblak;Kab. Bekasi;500;04.08;;6750000;
Kerupuk Pedas Kriwil 500Gr / Krupuk Seblak Super Pedas;32200;Ahr Jaya Snack;Jakarta Timur;9;05.00;;289800;
Seblakku Pedas Gurih By Ny. Entin;14000;Ny Entin Foods;Bandung;100;04.08;;1400000;
Seblak Kerupuk Bantet Pedas 250Gram - Kerupuk Bantet Seblak Pedas;16000;Jajanan Bandung 17;Bandung;11;03.08;;176000;
Paket Isi 4 Batagor Instan | Makaroni Basah | Seblak Basah;64906;Lakoca Official Shop;Cimahi;30;04.09;;1947180;
Kylafood Seblak Original Isi 10 Pcs;172000;Kylafood;Bandung;14;05.00;;2408000;
3 Seblak Free Baso Aci;63000;Sajodo Snack & Food;Tasikmalaya;30;05.00;;1890000;
Kerupuk Oren 1Kg Topping Seblak;19000;Pusat Cuankie & Cemilan Frozen;Jakarta Timur;30;05.00;;570000;
Kerupuk Bawang Pedas Seblak Plastik 250Gr;26500;Drsukses;Jakarta Selatan;17;05.00;;450500;
Seblak Instant Homemade;14000;Tea78;Tangerang;21;05.00;;294000;
Krupuk Stik Seblak Pedas-200Gram;13500;Yumnaa Snack;Kab. Bekasi;30;05.00;;405000;
Kerupuk Seblak Pedas 1 Kg;25500;Bintang Snack & Camilan;Semarang;100;05.00;;2550000;
Kylafood Seblak Original;17200;Kylafood;Bandung;10000;04.09;;172000000;
Kerupuk Seblak Mawar / Seblak Rafael / Seblak Viral 500 Gr - 500 Gram;34500;Bintang Snack & Camilan;Semarang;10;05.00;;345000;
Seblak Kerupuk Bantet Pedas-Kerupuk Bantet Wana-Seblak Pedas-Seblak;15000;Juhalim Store;Kab. Garut;19;05.00;;285000;
Krupuk Seblak Pedass;12000;R~Snack;Jakarta Timur;0;00.00;;0;
Kerupuk Seblak Pedas 1 Bungkus;10900;Atwshop;Jakarta Selatan;14;05.00;;152600;
Kylafood Seblak Mie Baso Sapi Play;22000;Kylafood;Bandung;250;04.09;;5500000;
Cemilan Box Makaroni Spiral Gelung Kerupuk Seblak Stick Pangsit;35789;Nyemilsaji;Kab. Bandung;750;04.08;;26841750;
Cuanki/Cuankie Lidah 100 Pcs Termurah Khas Garut Baso Aci/Seblak Boci;32999;Arfaonlineshop;Tangerang;23;05.00;;758977;
Cuanki Lidah 100 Pcs Khas Garut Toping Baso Aci & Seblak (Bry);31999;Aghniya;Tangerang Selatan;100;04.09;;3199900;
Kylafood Basreng Original / Pedas 100Gr  Halal;10000;Brother Meat Shop;Depok;50;05.00;;500000;
Cuanki Pangsit Kering Segitiga Cipet Isi 100 Toping Seblak Baso Aci;31500;Cuankiculametan;Kab. Garut;50;04.05;;1575000;
Kylafood Basreng Pedas Kemasan 100G;10425;Kylafood;Bandung;750;04.09;;7818750;
Cuanki Siomay Mini Gurilem 1 Ons Toping Seblak Baso Aci;3000;Cuankiculametan;Kab. Garut;70;04.09;;210000;
